no,username,handle,created_date,tweet_text,likes
4311,ਹਤਿੰਦਰ ਸਿੰਘ,@hatindersinghr1,2024-02-23T01:51:24.000Z,"#FarmersProtests ""𝗧𝗼𝗼 𝗺𝘂𝗰𝗵 𝗼𝗳 𝗱𝗲𝗺𝗼𝗰𝗿𝗮𝗰𝘆"" Haryana government to impose NSA on farmers' leaders and arrest them using National Security Act - NSA act 1980 section 2 (3) #FarmerLivesMatter #FarmerProtestInDelhi",85
4312,Mr Sinha (Modi's family),@MrSinha_,2024-02-26T04:41:57.000Z,A man with his kids stuck because of so-called #FarmersProtests. He's begging to allow them to pass but.... It seems this time common people are going to retaIiate...,16K
4313,Tractor2ਟਵਿੱਟਰ ਪੰਜਾਬ,@tractor2twitr_d,2024-02-26T04:41:57.000Z,A man with his kids stuck because of so-called #FarmersProtests. He's begging to allow them to pass but.... It seems this time common people are going to retaIiate...,16K
4314,তন্ময় l T͞anmoy l,@tanmoyofc,2024-02-23T01:51:24.000Z,"#FarmersProtests ""𝗧𝗼𝗼 𝗺𝘂𝗰𝗵 𝗼𝗳 𝗱𝗲𝗺𝗼𝗰𝗿𝗮𝗰𝘆"" Haryana government to impose NSA on farmers' leaders and arrest them using National Security Act - NSA act 1980 section 2 (3) #FarmerLivesMatter #FarmerProtestInDelhi",85
4315,Fighter_4_Humanity,@Fighter_4_Human,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4316,Tatsat Chronicle,@TatsatChronicle,2024-04-20T15:41:35.000Z,"#EU : #FarmersProtests intensify again in #France : In total, French farmers' protests have been going on for five months. What fake media doesn't tell you..",
4317,King Arthur & Excalibur,@OscarsWild1,2024-04-20T15:41:35.000Z,"#EU : #FarmersProtests intensify again in #France : In total, French farmers' protests have been going on for five months. What fake media doesn't tell you..",
4318,Drake Slayer,@drakeslayer100,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4319,Niyati Obhan,@NiyatiObhan,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4320,Dr. Vandana Shiva,@drvandanashiva,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4321,Arpan Banerjee ( অর্পণ ব্যানার্জি ),@arpanaitc,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
