no,username,handle,created_date,tweet_text,likes
3235,Sangha/,@FarmStudiozzz,2024-02-28T16:03:52.000Z,How many of you on x supporting #FarmersProtest2024 are facing criticism by families friends and acquaintances. I bet you the nano particles rule the world . Keep the resolve . Keep supporting . Sharing pic of Baba ji who was on my dp last protest - his unwavering support with,261
3236,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-26T01:49:20.000Z,"Pritpal Singh, was stuffed in sack & beaten to death by security forces in Haryana. He isn't able to speak due to fractures & serious injuries, but why @BhagwantMann is unable to speak or take action against brutality? What 'political injury' on his spine? #FarmersProtest2024",217
3237,unknown_3237,@boparai_hai,2024-02-20T10:20:35.000Z,Reach an international audience through our open access publication model. We have calls for papers in your subject area.,67
3238,RANA SANGHA - RoughSeaSailor.,@Sangha2Bs,2024-02-25T03:36:04.000Z,The world's largest farmer Protest is still going on. #FarmersProtest2024 #farmersprotests2024,441
3239,Gurpreet Kaur,@IGKaurP,2024-02-23T01:57:33.000Z,"Farmers are still on Panjabs jurisdiction, @police_haryana entered Panjab to vandalise tractors, ABDUCT and attac",66
3240,Dhillon,@Davinder_777,2024-02-21T22:54:05.000Z,Its a good decision by the farmer leaders to take a 2 day halt in the #FarmersProtest2024. I still believe that all factions of the,396
3241,Offers & Deals By India Desire,@IndiaDesire,2024-02-21T08:05:39.000Z,Blaupunkt BH31 Bluetooth Wireless Over Ear Headphones Deal price: Rs 1399 MRP: Rs 2999 Shop here: https://amzn.to/3TeVY8Q?twclid=2-5z59xqah8v8f2n2574g1j2r0h #Ad,20
3242,unknown_3242,@RavneetKaurTech,2024-02-28T05:30:52.000Z,"Farmers are not terrorists, but those pulling the trigger on unarmed buzarg citizens are. God save our farmers. #farmersprotest2024",188
3243,Dhillon,@Davinder_777,2024-02-26T01:49:20.000Z,"Pritpal Singh, was stuffed in sack & beaten to death by security forces in Haryana. He isn't able to speak due to fractures & serious injuries, but why @BhagwantMann is unable to speak or take action against brutality? What 'political injury' on his spine? #FarmersProtest2024",217
3244,BMJ,@bmj_company,2024-02-20T10:20:35.000Z,Reach an international audience through our open access publication model. We have calls for papers in your subject area.,67
3245,Dr Ranjan,@AAPforNewIndia,2024-03-01T02:20:58.000Z,"AAP Haryana Leaders accounts are being watched & restricted for supporting Farmers...!! Coward Khattar & Modi are fearing defeat at the hands of farmers. They can't stopped from voting against them, or have they 'fixed' that problem as well...!? #FarmersProtest2024",36
3246,Offers & Deals By India Desire,@IndiaDesire,2024-02-23T01:57:33.000Z,"Farmers are still on Panjabs jurisdiction, @police_haryana entered Panjab to vandalise tractors, ABDUCT and attac",66
3247,Johan Barros,@JRFBarros,2024-02-28T22:58:31.000Z,"We Sikhs respect every religion, those who posted wrong videos to spoil the character of Sikhs will not watch this video today. A Sikh never insults anyone's religion. Our opposition is to the Indian government, not to any religion. #FarmersProtest #FarmersProtest2024 #Punjab",814
3248,Harman (ï¿,@Harman_Zaildaar,2024-02-28T12:37:50.000Z,"HPV ke khilaf, hum sab ek saath hokar suraksha ki taraf ek kadam badhaye.",17K
3249,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-25T03:40:18.000Z,"Farmer leaders claimed Govt have planted their people inside the #FarmersProtest to target farmer leaders and to provoke farmers to take wrong steps/get violent, so protest could be removed. @BJP4India along with @AAPPunjab planning to kill farmers dissent. #FarmersProtest2024",144
3250,India With Congress,@UWCforYouth,2024-02-28T05:30:52.000Z,"Farmers are not terrorists, but those pulling the trigger on unarmed buzarg citizens are. God save our farmers. #farmersprotest2024",188
3251,Smit Singh,@smitsinghindia,2024-02-28T18:03:55.000Z,Big Breaking: Farmers pressure worked and an FIR under section 302 and 114 has been registered by Punjab police into the killing of 21-year young farmer Shaheed ShubhKaran Singh. FYI: Shubhkaran was SHOT DEAD by @police_haryana on Feb 21st at khanauri. #FarmersProtest2024,144
3252,Vikash Khokhar,@VikashK23838908,2024-02-28T05:30:52.000Z,"Farmers are not terrorists, but those pulling the trigger on unarmed buzarg citizens are. God save our farmers. #farmersprotest2024",188
3253,Dr Ranjan,@AAPforNewIndia,2024-02-28T18:03:55.000Z,Big Breaking: Farmers pressure worked and an FIR under section 302 and 114 has been registered by Punjab police into the killing of 21-year young farmer Shaheed ShubhKaran Singh. FYI: Shubhkaran was SHOT DEAD by @police_haryana on Feb 21st at khanauri. #FarmersProtest2024,144
3254,Smit Singh,@smitsinghindia,2024-03-01T02:20:58.000Z,"AAP Haryana Leaders accounts are being watched & restricted for supporting Farmers...!! Coward Khattar & Modi are fearing defeat at the hands of farmers. They can't stopped from voting against them, or have they 'fixed' that problem as well...!? #FarmersProtest2024",36
3255,Farmers_Protest 2.0,@FarmersProtest_,2024-02-26T03:30:11.000Z,"When it comes to our land, no matter where in the world we are, we will keep raising our voice for the rights of our farmers. Every voice is necessary. Every hand is necessary. That's why we won, that's why we will win. #FarmersProtest2024",200
3256,SP,@SPSSM,2024-02-28T17:39:05.000Z,Why don't they identify who shot at farmer Shubhkaran Singh in the head? #FarmersProtest2024,10
3257,Surpreet Bahia,@spkaur11,2024-02-21T08:34:25.000Z,RIP democracy in india #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi,2.2K
3258,Johan Barros,@JRFBarros,2024-02-26T04:36:31.000Z,No legacy is so rich as honesty. #FarmersProtest2024 #JusticeForSidhuMooseWala,119
3259,Offers & Deals By India Desire,@IndiaDesire,2024-02-21T08:34:25.000Z,RIP democracy in india #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi,2.2K
3260,unknown_3260,@Jxssa21,2024-02-22T03:11:57.000Z,Raise your voice for our farmers!!!!! #FarmersProtest2024 #FarmerProtest,59
3261,Hitesh Kumar Mutreja,@Hitesh_42200,2024-02-23T23:34:20.000Z,Kindly share #FarmersProtest2024,8
3262,Offers & Deals By India Desire,@IndiaDesire,2024-02-22T16:33:33.000Z,boAt Stone 1200 14W Bluetooth Speaker Deal price: Rs 3499 MRP: Rs 6990 Buy from here: https://amzn.to/49K83IA?twclid=25wgadrkpnys301m3xqf7ael8f #Ad,42
3263,Anu,@Anu_Arya007,2024-02-25T03:36:04.000Z,The world's largest farmer Protest is still going on. #FarmersProtest2024 #farmersprotests2024,441
3264,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-21T08:34:25.000Z,RIP democracy in india #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi,2.2K
3265,Randeep Gill,@Randeep44009128,2024-02-28T17:39:05.000Z,Why don't they identify who shot at farmer Shubhkaran Singh in the head? #FarmersProtest2024,10
3266,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-20T10:20:35.000Z,Reach an international audience through our open access publication model. We have calls for papers in your subject area.,67
3267,Sandeep Singh Dhaliwal,@SandeepDhaliw,2024-02-22T03:11:57.000Z,Raise your voice for our farmers!!!!! #FarmersProtest2024 #FarmerProtest,59
3268,unknown_3268,@Harvind06739900,2024-02-21T08:34:25.000Z,RIP democracy in india #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi,2.2K
3269,Nimesh,@DarjiNimesh11,2024-02-23T01:57:33.000Z,"Farmers are still on Panjabs jurisdiction, @police_haryana entered Panjab to vandalise tractors, ABDUCT and attac",66
3270,India With Congress,@UWCforYouth,2024-02-23T12:53:04.000Z,Lathicharge on peaceful farmers panchaayat in Hisar's Khedi Chopat. @police_haryana also fired tear gas shells and detained many farmers. Farm leader Suresh koth taken away by police. Remain unclear if he was arrested or detained. Dictatorship in Haryana #FarmersProtest2024,159
3271,Remix News & Views,@RMXnews,2024-02-28T04:12:13.000Z,A new Protest in Favour of #FarmersProtest2024 highlighting the Brutality of Police Forces at Shambhu Border.,8
3272,Kreately.in,@KreatelyMedia,2024-02-28T18:03:55.000Z,Big Breaking: Farmers pressure worked and an FIR under section 302 and 114 has been registered by Punjab police into the killing of 21-year young farmer Shaheed ShubhKaran Singh. FYI: Shubhkaran was SHOT DEAD by @police_haryana on Feb 21st at khanauri. #FarmersProtest2024,144
3273,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-28T17:39:05.000Z,Why don't they identify who shot at farmer Shubhkaran Singh in the head? #FarmersProtest2024,10
3274,Harman (ï¿,@Harman_Zaildaar,2024-02-22T03:11:57.000Z,Raise your voice for our farmers!!!!! #FarmersProtest2024 #FarmerProtest,59
3275,Sandeep Singh Dhaliwal,@SandeepDhaliw,2024-02-28T12:37:50.000Z,"HPV ke khilaf, hum sab ek saath hokar suraksha ki taraf ek kadam badhaye.",17K
3276,Puru sharma,@iam_purusharma,2024-02-28T04:12:13.000Z,A new Protest in Favour of #FarmersProtest2024 highlighting the Brutality of Police Forces at Shambhu Border.,8
3277,Randeep Gill,@Randeep44009128,2024-02-26T04:36:31.000Z,No legacy is so rich as honesty. #FarmersProtest2024 #JusticeForSidhuMooseWala,119
