no,username,handle,tweet_text
78,Farmers_Protest 2.0,@FarmersProtest_,The ongoing #Farmersprotest in India has now got the support of former army officers. Every responsible citizen of India who loves India is supporting Indian farmers. Andhbhakts now calling them #Khalistani but will not question Modi on the issue of farmers. #FarmersProtest2024
79,I -N- D- I -A,@IamMitesh86,"It should be investigated The BJP government is torturing the farmers by appointing RSS g00ns in the police. Look at the photo, this man is without uniform, how can it be that a policeman on duty does not wear uniform. #FarmerProtestInDelhi #FarmersProtest"
80,Man of Kent (Manofkent2022 on Gettr),@pplatesrgrate,This all is pre-planned because how this sanghi gamsha knows on 16 February that what will happened after 5 days?? #FarmersProtest #FarmerProtest2024 #KisanVirodhiNarendraModi
81,Hansraj Godara,@hansrajgodara96,"God knows what are these people who will happily eat One potato for Rs. 30 in a puffed up packet with a rupee worth masala, buy a Kg of potato for 30-40 but howl and cry when the farmers demand a Minim"
82,Vikas Bku Ugrahan,@vikas_bku,Happy Birthday Gullu ! ï¿
83,Baba Banaras,@RealBababanaras,Poor Farmer of our India?? #FarmersProtest
84,Internet Freedom Foundation (IFF),@internetfreedom,"STATEMENT: Haryana police seeks to cancel passports, visas of farmers identified through drone & CCTV cams to be causing disturbancesï¿"
85,Villager Singh,@Villagerz_Singh,"Life becomes a lot simpler, when you decide to let people misunderstand you. Because you started focusing on being good in God's eyes, not people. #FarmersProtest2024 #JusticeForSidhuMooseWala"
86,Offers & Deals By India Desire,@IndiaDesire,"""They should fear from us,make this border permanent we will rule our own, our youngsters sitting abroad will send money, This police will ran like m@d b!t#h in front, we will eat our breakfast in delhi"" #FarmersProtest2024 #Punjab"
87,Pendu,@Pendu774,"Politics is a dirty game, played by rich man with the rights of poor. #FarmersProtest2024 #JusticeForSidhuMooseWala"
88,Farmers_Protest 2.0,@FarmersProtest_,Martyred Farmer Shubhkarans autopsy points to firearm injury. @karamprakash6 's story. #FarmersProtest2024 #BJPHataoBetiBachao #ï
89,Indian Troll Lover,@trollove1,"It's the same patternKhalistani Sikhs, masquerading as farmers, are causing disruptions on the streets of California, USA . #FarmerProtest2024 #FarmersProtest2024 #Sikhs #KhalistanRefer"
90,Vijay Thottathil,@vijaythottathil,1 farmer dies during clash at Haryana-Punjab border! Congratulations Modi Ji #FarmersProtest2024
91,Randeep Gill,@Randeep44009128,#FarmerProtestInDelhi #FarmersProtest2024 #FarmersProtests We Support Our Farmers...
92,unknown_1889,@Jxssa21,Those who call Sikhs anti-national after seeing the turban should feel ashamed after watching this video. Sikhs in India have made every sacrifice to save the country. Sikhs gave the most martyrdom for the freedom of India. #FarmersProtest2024 #FarmersProtest 1/2
93,Gurpreet Kaur,@IGKaurP,So called farmer attacking police with swords Are they really farmers? I doubt!!! #FarmersProtest2024 #FarmersProtestInDelhi
94,BMJ,@bmj_company,"Haryana Police at Shambhu Border is not behind the Casualties and Injuries of Farmers, it's RSS Goons in civil dresses who are Atrocious to Punjab Farmers. #FarmersProtest2024"
95,unknown_1929,@DoabanJatti,"During the farmers protest in 2021 we lost over 700 lives. In 2024 so far we have lost 4, how many more precious souls will we lose before the farmers get their rights? #FarmersProtest2024 #NoFarmersNoFood"
96,Mohit Gahlot (ï¿,@_MohitGahlot_,Washing powder BJP/NDA #FarmersProtest2024 #farmersprotests2024
97,Subhash Chaudhary Bku,@Subhash_BKU,Hi @X and @ElonMusk . Please stop demoting our tweets and hashtags. Govts are #SelectedNotElected around the world using #EvilMethods. @GlobalP4LO is the most crucial voice to stop it says Visionary @IMPraveenDalal . #DigitalIndia #FarmersProtest2024 #LokSabhaElections2024 @PTLBIn
98,RajRaviSpeakParody,@RRPMalayil_,It is not the deleted scenes from the movie Borderï¿
99,GKG,@GillysGuidance,Praying for the Chardi Kala and safety of our Farmers who begin their march to Delhi today #FarmersProtest2024
100,Villager Singh,@Villagerz_Singh,Human Cost Of #FarmersProtest in 2024: Martyrdom - 6 FYI: SHUBHKARAN was SHOT DEAD by Haryana police. Injured - 400+ LostVision - 3 Until when
101,Mohit Gahlot (ï¿,@_MohitGahlot_,The world's largest farmer Protest is still going on. #FarmersProtest2024 #farmersprotests2024
102,Mohit Gahlot (ï¿,@_MohitGahlot_,The 50CAL Speaker 320Watts up to 78hr battery 340ft Bluetooth range Guitar input USB C+A charge ports to charge your devices in the wild 100+ reviews scoring ï¿
103,unknown_2050,@gL0cK__45,Living breathing role models #FarmersProtest2024
104,Sandeep Verma,@Isandeepkverma,"Real journalism , this is @IndiaToday 's @PreetiChoudhry bursting BJP's propaganda on #FarmersProtest Thank you Preeti Mam. @PreetiChoudhry More power to you #FarmersProtest2024"
105,Mohit Gahlot (ï¿,@_MohitGahlot_,"""Is the demand for MSP only for Punjab? Is it only for Haryana? No. When the MSP demand is for the farmers of the entire country, then the movement is also for the entire country."" -Amarjeet Singh Mohri, BKU Bhagat Singh #FarmersProtest2024"
106,Punjab Ki Baat,@punjabkibaat,Villagers preparing for cremation of #ShubhkaranSingh at village Ballo in Bathinda #FarmersProtest2024
107,Shubhdeep Sidhu,@ShubhdeepS86319,Such poor farmers with equipment worth lakhs.. #FarmersProtest2024 #FarmerProtestInDelhi
108,Mohit Gahlot (ï¿,@_MohitGahlot_,Real farmers of Punjab will be thankful to @narendramodi ji for this fantastic decision. Khalistanis participating in #FakeFarmersProtest #FarmersProtest2024 will not know what he is doing to help them. Soros sponsored Canadian radical Khalistanis with the help of ISI are
109,Cheshire Set,@SetCheshire,A friend of mine sent me this photo of Lin Peninsular farmers bringing their protest to Abersock beech. I hope they dont intend to pull down
110,HarshVivek Singh,@HVSBanwait,Its a good decision by the farmer leaders to take a 2 day halt in the #FarmersProtest2024. I still believe that all factions of the Farmer Unions should unite and do a combined press conference for the ne
111,Randeep Gill,@Randeep44009128,We have to continue farmer Shaheed Shubhkaran Singh battle and make sure his sacrifice for farmers of the country doesn't go in vein. We have to fight stronger and harder than ever before. This is our last chance to get our rightful dues. MSP is our right. #FarmersProtest2024
112,BMJ,@bmj_company,Reach an international audience through our open access publication model. We have calls for papers in your subject area.
113,Dr Poornima,@PoornimaNimo,This is how Shubhkaran lost his life during Farmers protest. By falling from height of 20 feet and landing on his head while hoisting khalistani flag on top of a sign board. Highlight this video to negate the propaganda that it was due to Haryana police firing. @HMOIndia
114,unknown_2153,@turja_tu,Framers khalistani Farmers are busy in their work of farming....they need to work to run their home n business meanwhile khalistani busy with protest...
115,Dr R.Tripathi,@Vairagi2288,After : 8000 gas shells SLR's 7.6251mm rounds 340 farmers in hospital 16 gunshot casualties NSA on 70yr old farm leader Country's fin
116,Radhika Chaudhary,@Radhika8057,Clash between Haryana police and farmers during #farmersprotests2024 as police opened fire in protesters. #farmersprotests2024 #FarmerProtestInDelhi #Sikhs #NewDelhi #Modi #BudgetSpeechComp #FarmersProtest #Delhi #Khalistani #FarmersProtest2024
117,The Political Animal,@ThePoliAnimal_,"Indeed, this is cruelty. I can say that this act was done by fake farmers or the khalistani sympathizers. I don't know, India is a place where the religion of this community was born. Hindus always treat them like their own. But why they have such stupid demand? And when you"
118,Saib Bilaval,@SaibBilaval,"Another incident surfaces where a Khalistani Sikh expresses a desire for Modi's elimination, reminiscent of what happened to our beloved Prime Minister, Indira Gandhi Ji. However, this time, a guy from Haryana calls out his Khalistan bluff directly to his face. Ouch, looks like"
119,unknown_2203,@turja_tu,This Makkar doesnt leave any opportunity to push Khalistani propaganda. Its because of him and scores of anon accounts (eithe
